date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:58:16	147693/147693	---MC-	200	added ('OK')	image/png	etag:%221481eefdaeeb62c8863a907ca536ccaf%22	https://framerusercontent.com/images/v2a769ZWVATYWBt7nZ3a0lkAWU.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/v2a769ZWVATYWBt7nZ3a0lkAWU.png	(from https://jacobson.framer.website/)
00:58:16	31030/31030	---MC-	200	added ('OK')	image/png	etag:%22407692056c9abf3fc4e2f52c0bfbcb8f%22	https://framerusercontent.com/images/5T77fm3KjHikG4jQTdqcky3Js8.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/5T77fm3KjHikG4jQTdqcky3Js8.png	(from https://jacobson.framer.website/work)
00:58:17	186982/186982	---M-Z	200	added ('OK')	text/html	etag:%229397c626cfbb7ab980a53d341de7be54%22	https://jacobson.framer.website/projects/mgl	C:/Users/merca/Downloads/HTTRACK/portfolio/jacobson.framer.website/projects/mgl.html	(from https://jacobson.framer.website/work)
00:58:17	158613/158613	---MC-	200	added ('OK')	image/png	etag:%227e0287c22254a5d98ed70470283fa653%22	https://framerusercontent.com/images/ZGN7ypiGHQDjQ7l1Iw958UiX9k4.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/ZGN7ypiGHQDjQ7l1Iw958UiX9k4.png	(from https://jacobson.framer.website/work)
00:58:18	186618/186618	---M-Z	200	added ('OK')	text/html	etag:%224964a5b21bb4c334a7e058bd4ca0f794%22	https://jacobson.framer.website/projects/tasks	C:/Users/merca/Downloads/HTTRACK/portfolio/jacobson.framer.website/projects/tasks.html	(from https://jacobson.framer.website/work)
00:58:18	74404/74404	---MC-	200	added ('OK')	image/png	etag:%2253dfa02b9efd046fa07dc85952831c9e%22	https://framerusercontent.com/images/gmQSn8WVSImm2p92jo9ao2ns.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/gmQSn8WVSImm2p92jo9ao2ns.png	(from https://jacobson.framer.website/work)
00:58:18	183316/183316	---M-Z	200	added ('OK')	text/html	etag:%22415b244d51f224c733c62f28439b7828%22	https://jacobson.framer.website/projects/classmate	C:/Users/merca/Downloads/HTTRACK/portfolio/jacobson.framer.website/projects/classmate.html	(from https://jacobson.framer.website/work)
00:58:18	199848/199848	---MC-	200	added ('OK')	image/png	etag:%224dfc579d59f00edbe48b85188da4dbfe%22	https://framerusercontent.com/images/6kVBFZEmgMlED5kolk0JMBb8.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/6kVBFZEmgMlED5kolk0JMBb8.png	(from https://jacobson.framer.website/work)
00:58:19	186514/186514	---M-Z	200	added ('OK')	text/html	etag:%227fa4ed411843c0b77a7c25736224d65c%22	https://jacobson.framer.website/projects/chef	C:/Users/merca/Downloads/HTTRACK/portfolio/jacobson.framer.website/projects/chef.html	(from https://jacobson.framer.website/work)
00:58:19	144905/144905	---MC-	200	added ('OK')	image/png	etag:%22d16425c7520f499c3015c4e5c1046011%22	https://framerusercontent.com/images/EMs7YJyHn1lsiyTs6cfJIo3PGOQ.png	C:/Users/merca/Downloads/HTTRACK/portfolio/framerusercontent.com/images/EMs7YJyHn1lsiyTs6cfJIo3PGOQ.png	(from https://jacobson.framer.website/work)
